
========> The following is the setup for this run:

2021_7_29_15_55_29_data_fashionmnist_arch_conv2_init_kaimingn_GPUs_1_minib_60_opt_Adam_lr_0.0002_lrpolicy_constant_lr_ep_1

arch: conv2
pretrained: False
resume: 
dataname: fashionmnist
datapath: ./data/fashionmnist/
workers: 20
batch_size: 60
init_policy: kaimingn
init_kaiming_mode: fan_in
init_kaiming_nonlinearity: relu
init_bias: zero
optimizer: Adam
epochs: 1
initial_epoch: 0
label_smoothing: 0.0
weight_decay: 0.0
lr: 0.0002
lr_policy: constant_lr
warmup_length: 0
lr_gamma: 0.0
lr_steps: None
lowest_lr: 0.0001
scale_coslr: 1
exp_coslr: 1
normal_exp_scale: 1500
momentum: 0.0
nesterov: False
evaluate: False
print_freq_tr: 10
print_freq_ts: 10
config: fashionmnist_conv2_train
logterminal: True
save_stages: False
gpu_idx: ['5']
local_rank: 0
channels_last: False
distributed: False
world_size: 1

=> Global rank of the current node is 0 and the process id is 40278.
=> There are 1 process(es) runing on GPU(s).
=> Visible GPU(s) are ['5'] for running 1 process(es).
=> Execute `nvidia-smi` on a differnt terminal to see used GPUs.
=> GPU 5 whose id is 0 is being used for training of the current process.

Downloading http://fashion-mnist.s3-website.eu-central-1.amazonaws.com/train-images-idx3-ubyte.gz to ./data/fashionmnist/FashionMNIST/raw/train-images-idx3-ubyte.gz
Extracting ./data/fashionmnist/FashionMNIST/raw/train-images-idx3-ubyte.gz to ./data/fashionmnist/FashionMNIST/raw
Downloading http://fashion-mnist.s3-website.eu-central-1.amazonaws.com/train-labels-idx1-ubyte.gz to ./data/fashionmnist/FashionMNIST/raw/train-labels-idx1-ubyte.gz
Extracting ./data/fashionmnist/FashionMNIST/raw/train-labels-idx1-ubyte.gz to ./data/fashionmnist/FashionMNIST/raw
Downloading http://fashion-mnist.s3-website.eu-central-1.amazonaws.com/t10k-images-idx3-ubyte.gz to ./data/fashionmnist/FashionMNIST/raw/t10k-images-idx3-ubyte.gz
Extracting ./data/fashionmnist/FashionMNIST/raw/t10k-images-idx3-ubyte.gz to ./data/fashionmnist/FashionMNIST/raw
Downloading http://fashion-mnist.s3-website.eu-central-1.amazonaws.com/t10k-labels-idx1-ubyte.gz to ./data/fashionmnist/FashionMNIST/raw/t10k-labels-idx1-ubyte.gz
Extracting ./data/fashionmnist/FashionMNIST/raw/t10k-labels-idx1-ubyte.gz to ./data/fashionmnist/FashionMNIST/raw
Processing...
Done!
=> The model, i.e., conv2, is being replicated on 1 processes.

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  10/1000] | Time(avg): 0.89 | Speed: (pics/sec):   671
Learning rate: 0.00020000 | Curr loss: 1.4405 | Avg loss: 2.2062 | Prec@1(avg) 34.50 % | Prec@5(avg) 73.33 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  20/1000] | Time(avg): 0.56 | Speed: (pics/sec):  1071
Learning rate: 0.00020000 | Curr loss: 0.9534 | Avg loss: 1.5730 | Prec@1(avg) 49.58 % | Prec@5(avg) 85.42 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  30/1000] | Time(avg): 0.45 | Speed: (pics/sec):  1338
Learning rate: 0.00020000 | Curr loss: 0.6772 | Avg loss: 1.2976 | Prec@1(avg) 56.50 % | Prec@5(avg) 90.00 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  40/1000] | Time(avg): 0.40 | Speed: (pics/sec):  1497
Learning rate: 0.00020000 | Curr loss: 0.6598 | Avg loss: 1.1510 | Prec@1(avg) 60.87 % | Prec@5(avg) 92.29 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  50/1000] | Time(avg): 0.36 | Speed: (pics/sec):  1646
Learning rate: 0.00020000 | Curr loss: 0.4728 | Avg loss: 1.0423 | Prec@1(avg) 64.07 % | Prec@5(avg) 93.70 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  60/1000] | Time(avg): 0.34 | Speed: (pics/sec):  1762
Learning rate: 0.00020000 | Curr loss: 0.4931 | Avg loss: 0.9643 | Prec@1(avg) 66.72 % | Prec@5(avg) 94.64 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  70/1000] | Time(avg): 0.33 | Speed: (pics/sec):  1823
Learning rate: 0.00020000 | Curr loss: 0.5514 | Avg loss: 0.9080 | Prec@1(avg) 68.60 % | Prec@5(avg) 95.33 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  80/1000] | Time(avg): 0.31 | Speed: (pics/sec):  1910
Learning rate: 0.00020000 | Curr loss: 0.2968 | Avg loss: 0.8681 | Prec@1(avg) 70.00 % | Prec@5(avg) 95.87 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  90/1000] | Time(avg): 0.31 | Speed: (pics/sec):  1945
Learning rate: 0.00020000 | Curr loss: 0.4746 | Avg loss: 0.8293 | Prec@1(avg) 71.26 % | Prec@5(avg) 96.26 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 100/1000] | Time(avg): 0.30 | Speed: (pics/sec):  1980
Learning rate: 0.00020000 | Curr loss: 0.4768 | Avg loss: 0.7957 | Prec@1(avg) 72.33 % | Prec@5(avg) 96.62 %

